Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,17,70,-461,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,18,33,-493,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,19,64,-465,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,20,111,-121,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,1,132,57,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,2,131,558,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,3,78,-59,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,4,33,-234,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,5,356,1723,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,6,342,1447,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,7,346,1203,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,8,123,66,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,9,132,-123,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,10,280,1049,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,11,148,111,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,12,217,682,0,,,,,,,,,,,,,,,,,,,,,,,
