Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,14,391,-202,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,15,539,40,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,16,1424,215,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,17,255,734,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,18,824,925,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,19,795,514,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,20,206,-17,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,1,9,-410,0,,,446.25,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,2,62,687,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,3,211,1458,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,4,10,-411,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,5,11,-392,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,6,347,1462,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,7,34,35,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,8,241,1188,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,9,109,691,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,10,213,1586,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,11,235,634,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,12,80,719,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,13,280,790,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,14,22,-303,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,15,36,43,0,,,,,,,,,,,,,,,,,,,,,,,
